Last_Name,First_Name,First_Name_Short,Full_Name,player,Price,Team,Role,Available,In_Team
Davies,Joel,JA,Joel Davies,JA Davies,68800,Sydney Sixers,ALLR,0,0
Couch,Brody,BL,Brody Couch,BL Couch,68600,Melbourne Stars,BOWL,0,0
McKenzie,Hamish,H,Hamish McKenzie,H McKenzie,68100,Melbourne Stars,BOWL,0,0
Cartwright,Hilton,HWR,Hilton Cartwright,HWR Cartwright,67200,Melbourne Stars,BAT,1,0
Jewell,Caleb,CP,Caleb Jewell,CP Jewell,64500,Hobart Hurricanes,BAT,0,0
Hatcher,Liam,LC,Liam Hatcher,LC Hatcher,64100,Sydney Thunder,BOWL,0,0
Wood,Jack,JP,Jack Wood,JP Wood,63900,Brisbane Heat,ALLR,0,0
David,Tim,TH,Tim David,TH David,63300,Hobart Hurricanes,BAT,1,0
Prestwidge,Will,W,Will Prestwidge,W Prestwidge,62400,Brisbane Heat,BOWL,0,0
Kelly,Thomas,T,Thomas Kelly,T Kelly,61400,Adelaide Strikers,BAT,0,0
Spoors,Matthew,,Matthew Spoors,Matthew Spoors,60900,Perth Scorchers,ALLR,0,0
Gilkes,Matthew,M,Matthew Gilkes,M Gilkes,58900,Sydney Thunder,WK,1,0
Harvey,Mackenzie,MW,Mackenzie Harvey,MW Harvey,58600,Melbourne Renegades,BAT,1,0
Harris,Marcus,MS,Marcus Harris,MS Harris,58500,Melbourne Renegades,BAT,0,0
Lyon,Nathan,NM,Nathan Lyon,NM Lyon,58500,Melbourne Renegades,BOWL,0,0
Maddinson,Nic,NJ,Nic Maddinson,NJ Maddinson,58500,Sydney Thunder,BAT,0,0
Manenti,Ben,BAD,Ben Manenti,BAD Manenti,58500,Sydney Sixers,BOWL,0,0
Wildermuth,Jack,JD,Jack Wildermuth,JD Wildermuth,58500,Brisbane Heat,ALLR,0,0
Nielsen,Harry,HJ,Harry Nielsen,HJ Nielsen,55600,Adelaide Strikers,WK,0,0
Kellaway,Campbell,C,Campbell Kellaway,C Kellaway,53900,Melbourne Stars,BAT,0,0
Scott,Liam,,Liam Scott,Liam Scott,52300,Adelaide Strikers,ALLR,0,0
Merlo,Jonathan,J,Jonathan Merlo,J Merlo,51600,Melbourne Stars,ALLR,0,0
Rogers,Tom,TF,Tom Rogers,TF Rogers,44800,Melbourne Stars,BAT,1,0
Warren,Doug,,Doug Warren,Doug Warren,44600,Melbourne Stars,BOWL,0,0
Beardman,Mahli,,Mahli Beardman,Mahli Beardman,39500,Perth Scorchers,BOWL,0,0
Buckingham,Jordan,,Jordan Buckingham,Jordan Buckingham,39500,Adelaide Strikers,BOWL,0,0
Carlisle,Iain,,Iain Carlisle,Iain Carlisle,39500,Hobart Hurricanes,BOWL,0,0
Crone,Xavier,,Xavier Crone,Xavier Crone,39500,Melbourne Renegades,BOWL,0,0
Dixon,Harry,,Harry Dixon,Harry Dixon,39500,Melbourne Renegades,BAT,0,0
Doran,Jake,,Jake Doran,Jake Doran,39500,Hobart Hurricanes,WK,0,0
Fanning,Sam,S,Sam Fanning,S Fanning,39500,Perth Scorchers,BAT,0,0
Hadley,Ryan,,Ryan Hadley,Ryan Hadley,39500,Sydney Thunder,BOWL,0,0
Perry,Mitchell,,Mitchell Perry,Mitchell Perry,39500,Sydney Sixers,BOWL,0,0
Salzmann,Will,,Will Salzmann,Will Salzmann,39500,Sydney Thunder,ALLR,0,0
Vidler,Callum,,Callum Vidler,Callum Vidler,39500,Brisbane Heat,BOWL,0,0
Wakim,Charlie,CA,Charlie Wakim,CA Wakim,39500,Hobart Hurricanes,BAT,0,0
