,Name,player,Team,Home_f,Round,Full_Name,season_fp_lag1,avg_season_fp_lag1,max_season_fp_lag1,min_season_fp_lag1,med_season_fp_lag1,sd_season_fp_lag1,match_cnt_lag1,season_fp_lag2,avg_season_fp_lag2,max_season_fp_lag2,min_season_fp_lag2,med_season_fp_lag2,sd_season_fp_lag2,match_cnt_lag2,season_fp_lag3,avg_season_fp_lag3,max_season_fp_lag3,min_season_fp_lag3,med_season_fp_lag3,sd_season_fp_lag3,match_cnt_lag3,season,rank,Opposition,Venue,opp_Adelaide Strikers,opp_Brisbane Heat,opp_Hobart Hurricanes,opp_Melbourne Renegades,opp_Melbourne Stars,opp_Perth Scorchers,opp_Sydney Sixers,opp_Sydney Thunder,venue_Adelaide Oval,venue_GABBA,venue_Hobart,venue_Marvel,venue_Melbourne Cricket Ground,venue_Other,venue_Perth Stadium,venue_SCG,venue_Sydney Showground,rank_group_High,rank_group_Low,rank_group_Middle,Home_Adelaide Strikers,Home_Melbourne Stars,Home_Melbourne Renegades,Home_Brisbane Heat,Home_Perth Scorchers,Home_Sydney Sixers,Home_Sydney Thunder,Home_Hobart Hurricanes,Game,prev_game_fp,last_2g_avg_fp,last_3g_avg_fp,curr_seas_total_fp,curr_seas_avg_fp,curr_seas_max_fp,curr_seas_min_fp,curr_seas_std_fp,match_cnt,over_1_f,over_2_f,over_3_f,over_4_f,over_5_f,over_6_f,over_7_f,over_8_f,over_9_f,over_10_f,over_11_f,over_12_f,over_13_f,over_14_f,over_15_f,over_16_f,over_17_f,over_18_f,over_19_f,over_20_f,bat_position_1.0,bat_position_2.0,bat_position_3.0,bat_position_4.0,bat_position_5.0,bat_position_6.0,bat_position_7.0,bat_position_8.0,bat_position_9.0,bat_position_10.0,bat_position_11.0,bat_position_DNB,exp_pts
0,Sean Abbott,SA Abbott,Sydney Sixers,1,1,Sean Abbott,448.0,49.77777777777778,139.0,8.0,55.0,41.9755219675044,9.0,1095.0,73.0,127.0,2.0,79.0,37.84932533839181,15.0,828.0,63.69230769230769,157.0,7.0,48.0,54.60827869988307,13.0,14,6,Melbourne Renegades,SCG,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2,41.0,51.0,51.0,102.0,51.0,61.0,41.0,14.142135623730951,2.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,49.591
1,Sean Abbott,SA Abbott,Sydney Sixers,0,2,Sean Abbott,448.0,49.77777777777778,139.0,8.0,55.0,41.9755219675044,9.0,1095.0,73.0,127.0,2.0,79.0,37.84932533839181,15.0,828.0,63.69230769230769,157.0,7.0,48.0,54.60827869988307,13.0,14,2,Sydney Thunder,Sydney Showground,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,41.0,51.0,51.0,102.0,51.0,61.0,41.0,14.142135623730951,2.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,44.993
2,Sean Abbott,SA Abbott,Sydney Sixers,1,3,Sean Abbott,448.0,49.77777777777778,139.0,8.0,55.0,41.9755219675044,9.0,1095.0,73.0,127.0,2.0,79.0,37.84932533839181,15.0,828.0,63.69230769230769,157.0,7.0,48.0,54.60827869988307,13.0,14,7,Melbourne Stars,SCG,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2,41.0,51.0,51.0,102.0,51.0,61.0,41.0,14.142135623730951,2.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.236
3,Sean Abbott,SA Abbott,Sydney Sixers,0,3,Sean Abbott,448.0,49.77777777777778,139.0,8.0,55.0,41.9755219675044,9.0,1095.0,73.0,127.0,2.0,79.0,37.84932533839181,15.0,828.0,63.69230769230769,157.0,7.0,48.0,54.60827869988307,13.0,14,5,Brisbane Heat,GABBA,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,41.0,51.0,51.0,102.0,51.0,61.0,41.0,14.142135623730951,2.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.811
4,Sean Abbott,SA Abbott,Sydney Sixers,0,4,Sean Abbott,448.0,49.77777777777778,139.0,8.0,55.0,41.9755219675044,9.0,1095.0,73.0,127.0,2.0,79.0,37.84932533839181,15.0,828.0,63.69230769230769,157.0,7.0,48.0,54.60827869988307,13.0,14,3,Hobart Hurricanes,Hobart,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,41.0,51.0,51.0,102.0,51.0,61.0,41.0,14.142135623730951,2.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,46.0005
5,Sean Abbott,SA Abbott,Sydney Sixers,0,5,Sean Abbott,448.0,49.77777777777778,139.0,8.0,55.0,41.9755219675044,9.0,1095.0,73.0,127.0,2.0,79.0,37.84932533839181,15.0,828.0,63.69230769230769,157.0,7.0,48.0,54.60827869988307,13.0,14,5,Brisbane Heat,Other,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,41.0,51.0,51.0,102.0,51.0,61.0,41.0,14.142135623730951,2.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.811
6,Sean Abbott,SA Abbott,Sydney Sixers,0,6,Sean Abbott,448.0,49.77777777777778,139.0,8.0,55.0,41.9755219675044,9.0,1095.0,73.0,127.0,2.0,79.0,37.84932533839181,15.0,828.0,63.69230769230769,157.0,7.0,48.0,54.60827869988307,13.0,14,7,Melbourne Stars,Melbourne Cricket Ground,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,41.0,51.0,51.0,102.0,51.0,61.0,41.0,14.142135623730951,2.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,51.1445
7,Sean Abbott,SA Abbott,Sydney Sixers,1,7,Sean Abbott,448.0,49.77777777777778,139.0,8.0,55.0,41.9755219675044,9.0,1095.0,73.0,127.0,2.0,79.0,37.84932533839181,15.0,828.0,63.69230769230769,157.0,7.0,48.0,54.60827869988307,13.0,14,4,Perth Scorchers,SCG,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,2,41.0,51.0,51.0,102.0,51.0,61.0,41.0,14.142135623730951,2.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,43.374
8,Sean Abbott,SA Abbott,Sydney Sixers,0,8,Sean Abbott,448.0,49.77777777777778,139.0,8.0,55.0,41.9755219675044,9.0,1095.0,73.0,127.0,2.0,79.0,37.84932533839181,15.0,828.0,63.69230769230769,157.0,7.0,48.0,54.60827869988307,13.0,14,8,Adelaide Strikers,Adelaide Oval,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,41.0,51.0,51.0,102.0,51.0,61.0,41.0,14.142135623730951,2.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,52.041
9,Sean Abbott,SA Abbott,Sydney Sixers,1,9,Sean Abbott,448.0,49.77777777777778,139.0,8.0,55.0,41.9755219675044,9.0,1095.0,73.0,127.0,2.0,79.0,37.84932533839181,15.0,828.0,63.69230769230769,157.0,7.0,48.0,54.60827869988307,13.0,14,2,Sydney Thunder,SCG,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,2,41.0,51.0,51.0,102.0,51.0,61.0,41.0,14.142135623730951,2.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,44.456
