,Name,Price,Team,Wk_f,Bat_f,Bowl_f,Role,weight,Available,In_Team,exp_pts,next_rnd_exp_pts
0,Adam Zampa,73800,Melbourne Renegades,0,0,1,BOWL,1,1,0,115.76318000000006,77.23875500000003
1,Fergus O'Neill,140500,Melbourne Renegades,0,0,1,BOWL,1,1,0,169.482095,111.376565
2,Hayden Kerr,110700,Sydney Sixers,0,1,1,ALLR,1,1,1,97.30552,49.22301
3,Henry Thornton,114000,Adelaide Strikers,0,0,1,BOWL,1,1,1,121.87855500000003,81.63021500000002
4,Jack Edwards,153000,Sydney Sixers,0,1,1,ALLR,1,1,1,112.03755000000001,56.93352
5,Jamie Overton,242000,Adelaide Strikers,0,1,1,ALLR,1,1,1,170.48418999999987,109.82411499999988
6,Lloyd Pope,155900,Adelaide Strikers,0,0,1,BOWL,1,1,1,149.645605,96.69509499999998
7,Matthew Short,249100,Adelaide Strikers,0,1,1,ALLR,1,1,1,198.7328049999999,131.87926499999992
8,Sam Harper,82100,Melbourne Stars,1,1,0,WK,1,1,1,80.75755500000005,38.75952500000002
9,Tom Curran,140700,Melbourne Stars,0,1,1,ALLR,1,1,1,112.810055,56.04753
10,Tom Rogers,150900,Melbourne Renegades,0,0,1,BOWL,1,1,0,158.87130999999997,103.51871999999997
11,Will Sutherland,191600,Melbourne Renegades,0,1,1,ALLR,1,1,0,166.95071499999995,109.84015499999998
